model,epoch,visibility,mask_mAP50_95,mask_recall
Mask2Former,5,100%,0.581,
Mask2Former,10,100%,0.64,
Mask2Former,15,100%,0.693,
Mask2Former,20,100%,0.66,
Mask2Former,25,100%,0.738,
Mask2Former,30,100%,0.738,
Mask2Former,35,100%,0.741,
Mask2Former,40,100%,0.714,
Mask2Former,45,100%,0.714,
Mask2Former,50,100%,0.714,
Mask2Former,5,25%,0.176,
Mask2Former,10,25%,0.227,
Mask2Former,15,25%,0.395,
Mask2Former,20,25%,0.323,
Mask2Former,25,25%,0.407,
Mask2Former,30,25%,0.463,
Mask2Former,35,25%,0.463,
Mask2Former,40,25%,0.516,
Mask2Former,45,25%,0.503,
Mask2Former,50,25%,0.516,
Mask2Former,5,50%,0.305,
Mask2Former,10,50%,0.418,
Mask2Former,15,50%,0.486,
Mask2Former,20,50%,0.519,
Mask2Former,25,50%,0.567,
Mask2Former,30,50%,0.603,
Mask2Former,35,50%,0.611,
Mask2Former,40,50%,0.65,
Mask2Former,45,50%,0.665,
Mask2Former,50,50%,0.676,
Mask2Former,5,75%,0.461,
Mask2Former,10,75%,0.516,
Mask2Former,15,75%,0.565,
Mask2Former,20,75%,0.605,
Mask2Former,25,75%,0.679,
Mask2Former,30,75%,0.688,
Mask2Former,35,75%,0.663,
Mask2Former,40,75%,0.726,
Mask2Former,45,75%,0.728,
Mask2Former,50,75%,0.719,
YOLO11m,0,100%,0.4186598359566368,0.6191150809856514
YOLO11m,10,100%,0.5390358225540769,0.8029517151160619
YOLO11m,20,100%,0.6603629285039869,0.8860232000018495
YOLO11m,30,100%,0.6333734597868567,0.9705900521364648
YOLO11m,40,100%,0.644241218296768,0.958960786516342
YOLO11m,50,100%,0.6851432617709634,0.8868680486062243
YOLO11m,60,100%,0.6684998621672364,0.9
YOLO11m,70,100%,0.6629791411681348,0.8555555555555555
YOLO11m,80,100%,0.657009293766026,0.7837124784304013
YOLO11m,90,100%,0.6131931251442443,0.7028450891843475
YOLO11m,0,25%,0.0957533078088489,0.2797600090230708
YOLO11m,10,25%,0.1644721624802891,0.3434824434824435
YOLO11m,20,25%,0.2652250826321597,0.5309407843007999
YOLO11m,30,25%,0.3283971210283173,0.6821802510401751
YOLO11m,40,25%,0.3683647518742553,0.6709762936762124
YOLO11m,50,25%,0.3865342974287072,0.6342469192298182
YOLO11m,60,25%,0.4182106724239408,0.7568505059341034
YOLO11m,70,25%,0.4117103568281407,0.8274084639232636
YOLO11m,80,25%,0.4373249735791095,0.75431997967986
