epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0292,1.28112,2.21807,3.54089,1.16282,0,0.47756,0.54254,0.45064,0.30727,0.48179,0.54566,0.44855,0.28071,1.24645,2.05924,1.86377,1.15398,0,0.000331155,0.000331155,0.000331155
2,99.7328,1.25917,2.03793,1.8615,1.12853,0,0.52033,0.54481,0.49771,0.34741,0.50815,0.55737,0.49297,0.33438,1.21629,1.87857,1.69967,1.11059,0,0.00065791,0.00065791,0.00065791
3,147.258,1.2695,1.89008,1.61476,1.12189,0,0.53319,0.47797,0.47763,0.32796,0.53425,0.48074,0.47922,0.30557,1.26776,1.95938,1.77835,1.1305,0,0.000978064,0.000978064,0.000978064
4,193.274,1.25651,1.88794,1.52936,1.10618,0,0.47597,0.54848,0.49418,0.34215,0.47067,0.54286,0.48563,0.32785,1.20789,2.0964,2.01976,1.08245,0,0.0009703,0.0009703,0.0009703
5,238.879,1.22429,1.8634,1.44876,1.09714,0,0.54301,0.57979,0.56334,0.38158,0.5187,0.56426,0.53482,0.33281,1.15744,1.89198,1.45259,1.0684,0,0.0009604,0.0009604,0.0009604
6,284.869,1.16015,1.75025,1.34854,1.07751,0,0.52829,0.67997,0.57722,0.42111,0.52585,0.67189,0.57174,0.38472,1.11068,1.64892,1.28802,1.04251,0,0.0009505,0.0009505,0.0009505
7,329.332,1.14548,1.74413,1.29654,1.05984,0,0.54776,0.66841,0.58466,0.41481,0.54432,0.6664,0.58083,0.38082,1.1147,1.57542,1.31497,1.05541,0,0.0009406,0.0009406,0.0009406
8,374.757,1.13729,1.71237,1.27184,1.06284,0,0.60553,0.62908,0.57303,0.42372,0.62558,0.62963,0.57042,0.40143,1.03812,1.49394,1.26752,1.01735,0,0.0009307,0.0009307,0.0009307
9,417.707,1.10886,1.6684,1.15951,1.0544,0,0.5432,0.72177,0.61378,0.45408,0.53368,0.71126,0.60324,0.41409,1.03004,1.56455,1.18951,1.0265,0,0.0009208,0.0009208,0.0009208
10,459.513,1.10092,1.58955,1.15362,1.03756,0,0.59906,0.66136,0.62548,0.46305,0.58998,0.65261,0.61713,0.42362,0.99172,1.46565,1.18071,1.00177,0,0.0009109,0.0009109,0.0009109
11,501.784,1.0972,1.59087,1.13392,1.04125,0,0.61384,0.63572,0.62569,0.45824,0.59084,0.65037,0.60931,0.4014,1.05008,1.545,1.31196,1.03205,0,0.000901,0.000901,0.000901
12,544.158,1.05418,1.56033,1.08194,1.01708,0,0.60256,0.67159,0.61921,0.4578,0.61811,0.64855,0.61207,0.42999,1.0158,1.49824,1.15756,0.99592,0,0.0008911,0.0008911,0.0008911
13,586.84,1.03274,1.52697,1.11498,1.01401,0,0.61442,0.68062,0.65008,0.48506,0.60692,0.67466,0.6417,0.43447,1.0029,1.40406,1.05853,0.99814,0,0.0008812,0.0008812,0.0008812
14,629.424,1.02326,1.47584,1.01498,1.01012,0,0.6135,0.65674,0.62216,0.47228,0.60892,0.64791,0.61695,0.43486,0.93507,1.32469,1.18697,0.97976,0,0.0008713,0.0008713,0.0008713
15,672.151,0.98671,1.44703,1.04458,0.9856,0,0.66353,0.71075,0.67935,0.52202,0.65767,0.70657,0.67258,0.47674,0.92041,1.38012,1.03031,0.97005,0,0.0008614,0.0008614,0.0008614
16,715.484,0.98198,1.42972,0.9847,0.99423,0,0.66883,0.67201,0.63634,0.47968,0.67223,0.66367,0.63245,0.43843,0.95449,1.35711,1.04373,0.98082,0,0.0008515,0.0008515,0.0008515
17,758.867,1.00624,1.4849,0.98837,0.99541,0,0.61374,0.70699,0.67168,0.50859,0.61338,0.70664,0.66955,0.46898,0.94684,1.30268,1.02911,0.96624,0,0.0008416,0.0008416,0.0008416
