epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,55.2468,0.87208,2.07601,4.33081,1.08391,0,0.51871,0.65682,0.58601,0.51342,0.51871,0.65682,0.58578,0.4818,0.62035,1.33958,2.98206,0.98186,0,0.0008888,0.000296267,0.0008888,0.000296267,0.0008888,0.000296267,0.0008888,0.000296267
2,99.9277,0.70507,1.44028,2.22065,0.98952,0,0.86858,0.81721,0.88899,0.78848,0.86858,0.81721,0.8888,0.75257,0.58991,1.04212,1.74447,0.95094,0,0.00178,0.000593334,0.00178,0.000593334,0.00178,0.000593334,0.00178,0.000593334
3,142.56,0.59959,1.16698,1.39565,0.93222,0,0.99073,0.84658,0.93612,0.83113,0.99073,0.84658,0.93612,0.79277,0.55069,0.95211,1.14677,0.9216,0,0.00265321,0.000884402,0.00265321,0.000884402,0.00265321,0.000884402,0.00265321,0.000884402
4,184.428,0.59282,1.13425,1.06519,0.91958,0,0.94785,0.91759,0.95287,0.86579,0.94785,0.91759,0.95055,0.8053,0.49071,0.92138,0.80822,0.88882,0,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003
5,210.897,0.56698,1.0142,0.80455,0.8861,0,0.96944,0.91093,0.95721,0.87663,0.96944,0.91093,0.95412,0.82071,0.45723,0.85084,0.67353,0.8741,0,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004
6,237.003,0.51731,0.93314,0.66326,0.87936,0,0.97056,0.90901,0.96056,0.87732,0.97056,0.90901,0.96056,0.82315,0.47511,0.81604,0.57652,0.8845,0,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004
7,262.161,0.53167,0.97368,0.58124,0.87301,0,0.97589,0.91288,0.97189,0.88065,0.97589,0.91288,0.9675,0.83103,0.47883,0.79346,0.51665,0.87721,0,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005
8,287.641,0.50665,0.87665,0.53584,0.86477,0,0.97899,0.92121,0.97543,0.8776,0.97899,0.92121,0.97298,0.8315,0.48981,0.76395,0.47092,0.87904,0,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006
9,313.164,0.47818,0.82604,0.49517,0.84551,0,0.96667,0.93939,0.97671,0.8937,0.97129,0.94645,0.97609,0.83869,0.45883,0.73003,0.42674,0.86896,0,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007
10,338.882,0.48394,0.82163,0.45454,0.86903,0,0.9879,0.91235,0.97694,0.89549,0.9879,0.91235,0.97816,0.83942,0.46315,0.71245,0.42133,0.86375,0,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008
11,364.658,0.50023,0.92235,0.45339,0.86632,0,0.97281,0.95483,0.98305,0.8974,0.97281,0.95483,0.97957,0.84771,0.44658,0.70601,0.40516,0.86199,0,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
12,391.082,0.4871,0.83529,0.42174,0.867,0,0.98702,0.94617,0.98354,0.90216,0.98702,0.94617,0.98079,0.84436,0.42924,0.70207,0.35783,0.85348,0,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001
13,416.823,0.4499,0.76728,0.36569,0.85133,0,0.98845,0.95535,0.98422,0.90574,0.98845,0.95535,0.9791,0.85275,0.44512,0.69684,0.35982,0.85685,0,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011
14,442.208,0.43242,0.77099,0.36152,0.83863,0,0.98062,0.95682,0.98695,0.91826,0.98062,0.95682,0.98449,0.86044,0.41865,0.66648,0.34522,0.8494,0,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012
15,467.206,0.43465,0.77087,0.35279,0.85525,0,0.98088,0.96584,0.9839,0.91653,0.97509,0.94881,0.97922,0.85153,0.4186,0.66803,0.33269,0.85056,0,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013
16,492.626,0.43711,0.75841,0.3424,0.8436,0,0.97538,0.96884,0.98245,0.92013,0.97538,0.96884,0.97971,0.84809,0.4183,0.66594,0.33283,0.84639,0,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013
17,518.83,0.40518,0.70157,0.34548,0.83931,0,0.98816,0.94848,0.98636,0.92044,0.98816,0.94848,0.98394,0.86683,0.42584,0.6582,0.32113,0.84845,0,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014
18,544.511,0.41052,0.67486,0.32171,0.84707,0,0.98775,0.94848,0.98854,0.91765,0.98775,0.94848,0.98675,0.86085,0.42208,0.66709,0.31375,0.85392,0,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015
19,570.1,0.40678,0.73347,0.33417,0.83708,0,0.98674,0.95682,0.99017,0.93322,0.98674,0.95682,0.98613,0.86635,0.38866,0.6542,0.29302,0.84291,0,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016
20,595.498,0.38937,0.70582,0.32049,0.83097,0,0.98812,0.94848,0.99039,0.92775,0.98812,0.94848,0.98745,0.85846,0.39491,0.65101,0.29326,0.83901,0,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017
21,620.497,0.3972,0.68862,0.33196,0.84215,0,0.99138,0.9597,0.99097,0.93351,0.99138,0.9597,0.99097,0.85614,0.37985,0.65358,0.29732,0.83167,0,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
22,645.554,0.42764,0.73489,0.33436,0.84355,0,0.98658,0.9639,0.99177,0.93668,0.98658,0.9639,0.98802,0.86711,0.37588,0.65159,0.28376,0.82844,0,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019
23,670.608,0.39231,0.63438,0.30592,0.83069,0,0.98833,0.96515,0.99158,0.93732,0.98833,0.96515,0.98838,0.87285,0.37441,0.64398,0.27854,0.82746,0,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102
24,696.138,0.3884,0.64475,0.29892,0.83473,0,0.98986,0.96515,0.99062,0.94554,0.98986,0.96515,0.98787,0.88798,0.36845,0.64584,0.27189,0.8268,0,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021
25,721.761,0.37793,0.68381,0.30552,0.83359,0,0.99002,0.96797,0.98747,0.94344,0.99002,0.96797,0.98417,0.88239,0.36345,0.65401,0.27334,0.82658,0,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022
26,747.312,0.38911,0.62455,0.29313,0.83049,0,0.99012,0.96899,0.98207,0.92811,0.99012,0.96899,0.97853,0.87413,0.3685,0.63126,0.26994,0.8263,0,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022
27,785.053,0.38229,0.65186,0.29447,0.82009,0,0.98168,0.97468,0.98252,0.9304,0.98168,0.97468,0.97886,0.87068,0.38996,0.63409,0.26175,0.82662,0,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023
28,819.781,0.39812,0.69338,0.29255,0.82301,0,0.99124,0.97102,0.98792,0.9401,0.99124,0.97102,0.98468,0.88288,0.3884,0.62091,0.25986,0.82195,0,0.00199807,0.000666024,0.00199807,0.000666024,0.00199807,0.000666024,0.00199807,0.000666024
29,855.254,0.37981,0.65183,0.29435,0.83498,0,0.98996,0.96458,0.98926,0.94412,0.98996,0.96458,0.98575,0.8837,0.37773,0.62099,0.27426,0.82398,0,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025
30,888.227,0.37932,0.64847,0.28063,0.82673,0,0.97159,0.97424,0.98903,0.93765,0.97159,0.97424,0.98548,0.87855,0.38746,0.62338,0.27469,0.83318,0,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026
31,922.541,0.35357,0.63609,0.27103,0.8256,0,0.96989,0.96591,0.98902,0.93642,0.96989,0.96591,0.98576,0.87312,0.39675,0.63903,0.27208,0.83728,0,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027
32,952.614,0.36495,0.64839,0.27877,0.81649,0,0.98215,0.97424,0.98946,0.94033,0.98215,0.97424,0.98946,0.87667,0.3765,0.62419,0.26012,0.8258,0,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028
