epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3079,1.14877,2.21415,3.5795,1.13561,0,0.46028,0.4837,0.44646,0.3187,0.45873,0.48018,0.4365,0.28796,1.2429,2.32369,1.66609,1.18118,0,0.000330303,0.000330303,0.000330303
2,52.0166,1.19806,1.9502,1.69512,1.12999,0,0.47928,0.43441,0.50651,0.34813,0.47656,0.43225,0.50711,0.33838,1.14582,2.01772,1.46092,1.08403,0,0.000657066,0.000657066,0.000657066
3,75.9164,1.1601,1.82138,1.43533,1.11044,0,0.5559,0.72451,0.68464,0.42895,0.54548,0.71185,0.67701,0.42149,1.19553,1.91177,1.25127,1.18421,0,0.00097723,0.00097723,0.00097723
4,100.485,1.18735,1.85865,1.31127,1.10834,0,0.73801,0.63946,0.72911,0.49458,0.73274,0.63053,0.72285,0.46695,1.06539,1.70417,1.13316,1.07071,0,0.0009703,0.0009703,0.0009703
5,126.295,1.18843,1.84035,1.23901,1.09601,0,0.67509,0.74718,0.73833,0.46309,0.6833,0.74304,0.72516,0.42446,1.14886,1.91443,1.05446,1.11669,0,0.0009604,0.0009604,0.0009604
6,152.477,1.1747,1.75303,1.16655,1.0859,0,0.61658,0.71768,0.72277,0.48926,0.61417,0.71869,0.72625,0.44988,1.09668,1.64348,1.08426,1.1167,0,0.0009505,0.0009505,0.0009505
7,179.1,1.09707,1.61924,1.06674,1.0601,0,0.70368,0.81647,0.82346,0.55022,0.70221,0.81492,0.8209,0.52917,1.08132,1.55969,0.96832,1.06768,0,0.0009406,0.0009406,0.0009406
8,206.447,1.07264,1.64304,1.06957,1.04497,0,0.81176,0.57682,0.77054,0.54221,0.81176,0.57682,0.76547,0.50128,0.98201,1.56976,0.96893,1.02521,0,0.0009307,0.0009307,0.0009307
9,237.645,1.04451,1.67817,1.016,1.04965,0,0.79499,0.77605,0.83332,0.59816,0.80777,0.78413,0.84082,0.57307,1.00833,1.45936,0.90826,1.03959,0,0.0009208,0.0009208,0.0009208
10,268.232,1.06621,1.61861,0.97759,1.04891,0,0.71009,0.774,0.77166,0.55362,0.69469,0.78409,0.77014,0.52447,0.98517,1.46663,0.84312,1.02949,0,0.0009109,0.0009109,0.0009109
